"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"145","Noviherbaspirillum sp.",0.00328617324561404,2.4e-05,0.019897,0.00314013034142355,0.0026215,9.86041856112879e-06,456,0.00642630358703759
"146","Novosphingobium sp.",0.0147607943107221,0.000794,0.061422,0.00740553727404354,0.013121,5.48419823172483e-05,457,0.0221663315847656
"147","Ochrobactrum sp.",0.000434634311512415,8e-06,0.003556,0.000380551412139799,0.000354,1.44819377281595e-07,443,0.000815185723652214
"148","Ohtaekwangia sp.",0.00459539293598234,1.1e-05,0.024827,0.00329983726202963,0.004098,1.08889259558792e-05,453,0.00789523019801197
"149","Opitutus sp.",0.00413439387308534,0.000102,0.011371,0.00210159314104531,0.003974,4.41669373048869e-06,457,0.00623598701413065
"150","Ornatilinea sp.",0.00597075711159737,0.000257,0.02934,0.00474851768099825,0.004565,2.2548420166753e-05,457,0.0107192747925956
"151","Owenweeksia sp.",0.00202596710526316,1.3e-05,0.0078,0.00153808351314909,0.001617,2.36570089342105e-06,456,0.00356405061841225
"152","Paenibacillus sp.",0.00321276805251641,3.3e-05,0.025419,0.00299769101253093,0.002118,8.9861514066087e-06,457,0.00621045906504734
"153","Parasegetibacter sp.",0.00128744567627494,7e-06,0.007131,0.00133195774158781,0.000814,1.77411142537571e-06,451,0.00261940341786276
"154","Patulibacter sp.",0.00789494529540481,0.00017,0.032559,0.00490456154746559,0.007139,2.40547239728781e-05,457,0.0127995068428704
"155","Pedobacter sp.",0.00154135242290749,1.7e-05,0.014341,0.0020215051424834,0.000882,4.08648304108683e-06,454,0.00356285756539089
"156","Pedomicrobium sp.",0.00239933114035088,6e-06,0.018873,0.00224474737852654,0.001764,5.03889079340177e-06,456,0.00464407851887742
"157","Pedosphaera sp.",0.0172257789934354,0.000313,0.050034,0.0090077713227658,0.015363,8.11399442032419e-05,457,0.0262335503162013
"158","Peredibacter sp.",0.00119428008752735,1.4e-05,0.008614,0.00108289217415799,0.000877,1.17265546085262e-06,457,0.00227717226168535
"159","Phaselicystis sp.",0.00413652078774617,3.4e-05,0.022191,0.00330103132809468,0.00296,1.08968078290625e-05,457,0.00743755211584085
"160","Phenylobacterium sp.",0.00397824726477024,0.000148,0.020291,0.00269036211490946,0.003491,7.23804830934009e-06,457,0.0066686093796797
"161","Phycicoccus sp.",0.00634109190371991,1.7e-05,0.026124,0.00509520030427244,0.004852,2.5961066140658e-05,457,0.0114362922079924
"162","Phycisphaera sp.",0.00819918161925602,0.000732,0.0253,0.00495442076516094,0.007834,2.45462851182579e-05,457,0.013153602384417
"163","Pilimelia sp.",0.000902894505494506,2e-05,0.006006,0.000812133505192396,0.000686,6.59560830256087e-07,455,0.0017150280106869
"164","Pirellula sp.",0.0119137680525164,0.000174,0.026564,0.00442706899826292,0.011614,1.95989399153806e-05,457,0.0163408370507793
"165","Piscinibacter sp.",0.00407805921052632,1.7e-05,0.021969,0.00372049084124435,0.0028295,1.38420520997831e-05,456,0.00779855005177067
"166","Planctomyces sp.",0.0091572647702407,0.001769,0.035839,0.0048904051658653,0.007962,2.3916062686322e-05,457,0.014047669936106
"167","Polaromonas sp.",0.00138592997811816,2.4e-05,0.010706,0.00126504151842214,0.00109,1.6003300433318e-06,457,0.0026509714965403
"168","Promicromonospora sp.",0.0160894879649891,3.4e-05,0.15127,0.0156597767733933,0.011578,0.000245228608592508,457,0.0317492647383824
"169","Pseudomonas sp.",0.00643969365426696,0.000888,0.044702,0.00525070392338343,0.005164,2.75698916910342e-05,457,0.0116903975776504
"170","Pseudonocardia sp.",0.00344731728665208,3.8e-05,0.023078,0.00295881409498296,0.002889,8.75458084866981e-06,457,0.00640613138163504
"171","Ramlibacter sp.",0.00169659645232816,1.1e-05,0.037165,0.00235187959940995,0.001022,5.53133765012071e-06,451,0.00404847605173811
"172","Reyranella sp.",0.00305082713347921,2.3e-05,0.010979,0.00152194434977878,0.002941,2.31631460382356e-06,457,0.004572771483258
"173","Rhizobacter sp.",0.00126208705357143,8e-06,0.020681,0.0019596415982896,0.0008555,3.840195193747e-06,448,0.00322172865186103
"174","Rhizobium sp.",0.0020919124726477,3.3e-05,0.021469,0.00208696962613075,0.001541,4.35544222039234e-06,457,0.00417888209877846
"175","Rhizomicrobium sp.",0.00328500437636761,0.000214,0.033861,0.00334168022593978,0.002304,1.1166826732437e-05,457,0.0066266846023074
"176","Rhodanobacter sp.",0.00174529759299781,3.1e-05,0.015536,0.00175781103255056,0.001161,3.08989962615647e-06,457,0.00350310862554837
"177","Rhodobium sp.",0.00188129074889868,1.2e-05,0.028323,0.00289688073304781,0.0010355,8.39191798150364e-06,454,0.00477817148194649
