"c_muestra_wineseq","max_PER"
"APG012",0.153276131045242
"BMK03G",0.153322091062395
"A37006",0.153740261261789
"E08002",0.15392
"A5G000",0.154683
"A09A1J",0.154689
"A17A01",0.155076
"A09A0U",0.155214
"A17A0F",0.155868
"BMK03Q",0.156146820462244
"A3T004",0.156254
"A06A05",0.156627
"WWW02A",0.157272
"WWW02K",0.157488
"A3Q009",0.158192
"A3S007",0.158895
"A17A04",0.159256
"A16A03",0.161058
"APG006",0.161061588330632
"WWW04D",0.161222
"A10A04",0.161471
"A5A000",0.16154835691732
"A0213I",0.162276575729069
"WWW030",0.162716
"APG00W",0.162874945660049
"A10A00",0.16308
"E08008",0.164866
"A3U002",0.165039
"E11003",0.166537
"BMK03V",0.166755
"APQ000",0.170819
"BMK03R",0.172183429034977
"P01027",0.173233
"E11002",0.173339
"E08001",0.174406
"A47002",0.174946
"A17A0K",0.175045
"APY003",0.175074
"A17A0B",0.177856
"BMK03H",0.177970883647444
"A3Q00N",0.178017
"A09A0V",0.178566
"APY004",0.179333
"A3Q000",0.180562
"E0800B",0.181072745053788
"A16A01",0.181233
"A0213E",0.1814230153283
"A0213O",0.181560695740586
"WWW01E",0.181812
"A09A1B",0.182415
"A3Q00M",0.182841
"A37005",0.182988666900339
"A17A07",0.184004
"E14004",0.18406
"APS000",0.184412
"APY001",0.184678
"A37009",0.189048991354467
"APG007",0.189375533521571
"WWW01V",0.1904
"E08005",0.190845
"APY002",0.191194
"A17A0I",0.191623
"APR000",0.192732
"WWW02N",0.194995
"A3700A",0.195470133184464
"A17A0E",0.199075
"APY000",0.199214
"A20A01",0.201196
"WWW042",0.201205
"E11004",0.20256
"A3P00E",0.204146
"E08006",0.204169
"WWW02W",0.204226
"E0800A",0.205069780689262
"WWW02H",0.207377
"BMK03K",0.207448
"WWW021",0.209978
"A37007",0.210554262141078
"WWW03S",0.212911
"A47003",0.215528
"WWW025",0.21935
"A17A0G",0.220149
"WWW023",0.220835
"A17A1O",0.22197
"A3U004",0.222266
"APS002",0.222424
"A3Q004",0.224226
"APS001",0.225425
"WWW03Z",0.225673
"WWW044",0.226412
"A16A02",0.22642
"E11000",0.226669
"A29A09",0.227592
"A46008",0.230002
"A3P00A",0.232085
"A17A1F",0.23376
"A47000",0.234221
"WWW045",0.236709
"A3Q007",0.239345
"A3H001",0.23963
"A3Q006",0.240335
"A5I000",0.241076
"A17A0A",0.241174
"A3Q002",0.242498
"A3H003",0.24678
"A24A2T",0.247628
"A37008",0.252134055203109
"WWW03R",0.254666
"A3F002",0.25477
"A3P00C",0.254895
"A09A12",0.256855
"WWW03P",0.25855
"A3T001",0.259145
"WWW047",0.261478
"A3Q005",0.262438
"A3F001",0.26306
"A17A1K",0.263966
"A3H000",0.270703
"APG00Y",0.270810249307479
"A24A1M",0.27581
"A24A1Y",0.276189
"A3P009",0.283152
"A24A2S",0.291861
"A3H002",0.295067
"A3H004",0.303541
"A46005",0.303928
"A09A14",0.311314
"A3Q001",0.324316
"A17A1M",0.327924
"A3F000",0.336363
"000C07",0.342483
"A17A1L",0.343439
"WWW027",0.351509
"A17A1N",0.366434
"A17A1H",0.376878
"A33A20",0.420905
"A20A02",0.453156
"A24A2Q",0.463045
"A24A0T",0.498129
"A04A05",0.586271
"A24A2R",0.635405
"A24A2N",0.678025
"A03A05",0.890054
