"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"A07A09",0.00166385191347754,1.1e-05,0.055375,0.00504627528708391,2.54648942730338e-05,601,0.000171
"A07A0B",0.00138502216066482,1.2e-05,0.07761,0.00470313904818704,2.21195169065817e-05,722,0.000105
"A07A0D",0.00138118508287293,1.2e-05,0.050655,0.00424725769230446,1.80391979048394e-05,724,0.000133
"A07A0F",0.00129373479948254,1.4e-05,0.034397,0.00377388713628289,1.42422241174014e-05,773,0.000139
"A07A0H",0.00110497790055249,5e-06,0.097531,0.00483180934769989,2.334638157252e-05,905,6.4e-05
"A07A0J",0.00119193921334923,5e-06,0.039128,0.00361541813040167,1.30712482576371e-05,839,0.00014
"A09A09",0.00109875934065934,3e-06,0.093247,0.00466645077792656,2.17757628628114e-05,910,5.9e-05
"A09A0B",0.00154792879256966,8e-06,0.058559,0.00474176577072075,2.2484342624379e-05,646,0.000168
"A09A0I",0.00109533515881709,7e-06,0.101863,0.0050373774199793,2.53751712713173e-05,913,6.2e-05
"A09A0J",0.00114553150057274,8e-06,0.057164,0.00447813789341201,2.00537189924126e-05,873,7.6e-05
"A09A0K",0.00117779034157833,9e-06,0.079584,0.00454978939366937,2.07005835267463e-05,849,8.5e-05
"A09A0L",0.00119040595238095,8e-06,0.115528,0.005928324053769,3.51450260864961e-05,840,5.7e-05
"A09A0M",0.00123768440594059,1e-05,0.12123,0.00635737617727508,4.04162318593846e-05,808,6e-05
"A09A0N",0.00114035575826682,7e-06,0.128372,0.0057797473699949,3.34054796609629e-05,877,6.5e-05
"A09A0O",0.00129037548387097,7e-06,0.06704,0.00575191537582158,3.30845304906127e-05,775,6.6e-05
"A09A0P",0.00119897002398082,7e-06,0.087318,0.00543824614146313,2.95745210951387e-05,834,6.7e-05
"A09A0Q",0.00109416630196937,1e-05,0.112166,0.0048337473598212,2.33651135385784e-05,914,7.7e-05
"A09A0R",0.00111738324022346,1.3e-05,0.071362,0.0045358395937824,2.05738408205241e-05,895,8.9e-05
"A09A0S",0.00110990566037736,1.3e-05,0.101004,0.00469989109578096,2.20889763122012e-05,901,7.6e-05
"A09A0T",0.00111603013392857,9e-06,0.14696,0.00578626003874373,3.34808052359626e-05,896,6.4e-05
"A09A0U",0.00106267481402763,7e-06,0.155214,0.00586519385691965,3.4400498979248e-05,941,6e-05
"A09A0V",0.00105044537815126,7e-06,0.178566,0.00652951140011621,4.26345191242476e-05,952,5.1e-05
"A09A0W",0.00159480542264753,2e-05,0.054668,0.00489000453593248,2.39121443614403e-05,627,0.000182
"A09A0X",0.00182812979890311,2.1e-05,0.056296,0.00512207405939573,2.62356426699346e-05,547,0.000256
"A09A0Y",0.00227266363636364,3.4e-05,0.0446,0.00565321461602177,3.19588354948022e-05,440,0.000344
"A09A0Z",0.00101426572008114,1.1e-05,0.143843,0.00555126169482653,3.08165064044483e-05,986,7.6e-05
"A09A10",0.000933738562091503,6e-06,0.074507,0.00385101465386677,1.48303138642966e-05,1071,6.4e-05
"A09A11",0.00110617146017699,6e-06,0.080156,0.00516754570228332,2.67035285851868e-05,904,4.9e-05
"A09A12",0.00133876305220884,1.1e-05,0.256855,0.0101189694893744,0.00010239354352689,747,7.6e-05
"A09A13",0.00169498813559322,2.8e-05,0.124769,0.0065404176542129,4.27770630915398e-05,590,0.000196
"A09A14",0.00130370404172099,7e-06,0.311314,0.0117945037154054,0.000139110317892712,767,5e-05
"A09A1B",0.00147264948453608,2.1e-05,0.182415,0.00785920485842885,6.17671010067516e-05,679,0.000129
"A09A1C",0.00164480592105263,2.8e-05,0.079946,0.00568265513636405,3.22925693988447e-05,608,0.000181
"A09A1D",0.00163393300653595,2.5e-05,0.049621,0.00472826819925441,2.23565201640806e-05,612,0.000176
"A09A1H",0.00134043967828418,1.1e-05,0.079276,0.00532258468722971,2.83299077527322e-05,746,8.9e-05
"A09A1I",0.00125308020050125,1.6e-05,0.045923,0.00444090923112379,1.97216747990805e-05,798,9.7e-05
"A09A1J",0.00171242636986301,3.7e-05,0.154689,0.0082167718234527,6.75153391986863e-05,584,0.000147
"A10A00",0.00238657517899761,6.6e-05,0.16308,0.00888897862394719,7.90139409769902e-05,419,0.000399
"A10A02",0.00120486385542169,6e-06,0.128723,0.00550371697622814,3.02909005544218e-05,830,0.000113
"A10A04",0.012500025,1.2e-05,0.161471,0.02781221375946,0.000773519234201899,80,0.000643
"A10A06",0.00171234075342466,1.1e-05,0.085174,0.0063643857305791,4.05054057275988e-05,584,0.000113
"A11A0B",0.00132812217795485,1.5e-05,0.053928,0.00404115184804888,1.63309082589889e-05,753,0.000145
"A11A0C",0.00128871134020619,1.6e-05,0.096101,0.00470532296451995,2.21400642004388e-05,776,0.000143
"A11A0D",0.00145565502183406,2.7e-05,0.050308,0.00442486761430669,1.95794534041402e-05,687,0.000162
"A12A01",0.0013888625,2.3e-05,0.144372,0.00648820849641019,4.20968494928894e-05,720,0.000162
"A12A02",0.00175754833040422,4e-05,0.081836,0.00566880909365925,3.21353965403538e-05,569,2e-04
"A14A01",0.000966290821256039,6e-06,0.119408,0.00536276118411549,2.87592075178558e-05,1035,5.5e-05
"A14A02",0.00203263821138211,8.1e-05,0.115053,0.00801566602803009,6.42509018729157e-05,492,0.000242
"A14A03",0.00105379135932561,6e-06,0.138002,0.00668835709162683,4.4734120585115e-05,949,5.3e-05
"A16A01",0.00102776464542652,4e-06,0.181233,0.00769891098580771,5.92732303673907e-05,973,3.9e-05
